method,path,module,controller,auth,audience,scope,request_model,response_model,tenant_company_binding,campaign_binding,idempotency,rate_limit_expectation,middleware_only,browser_allowed,provider_callback,status
POST,/api/v1/integration/results/<string:result_public_id>/reconcile,call_center_campaign,CodestraIntegrationApiController.reconcile_result,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,NO,NO,NO,REJECT
GET,/api/v1/integration/traces/<string:correlation_id>,call_center_campaign,CodestraIntegrationApiController.read_trace,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/traces,call_center_campaign,CodestraIntegrationApiController.read_trace_by_record,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/audit/<int:audit_id>,call_center_campaign,CodestraIntegrationApiController.read_audit,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/desired-state/<string:aggregate_type>/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/agents/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/leads/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/campaigns/<string:public_id>,call_center_campaign,CodestraIntegrationApiController.read_desired_state,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/health/live,call_center_campaign,CodestraServiceOperationsController.health_live,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/health/ready,call_center_campaign,CodestraServiceOperationsController.health_ready,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/.well-known/codestra-service,call_center_campaign,CodestraServiceOperationsController.service_attestation,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,CANDIDATE
GET,/metrics,call_center_campaign,CodestraServiceOperationsController.metrics,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
POST,/codestra/integration/v1/results,call_center_campaign,CodestraLegacyIntegrationResultController.retired_result_callback,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REJECT
POST,/api/v1/integration/campaign-actions,codestra_campaign_crm_os,CodestraCampaignAutomationActionController.apply_campaign_actions,none,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REJECT
GET,/contact-center/agent,codestra_cc_identity,ContactCenterLandingController.agent_landing,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
GET,/contact-center/supervisor,codestra_cc_identity,ContactCenterLandingController.supervisor_landing,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
ANY,/my/codestra,codestra_client_portal,CodestraClientPortal.codestra_dashboard,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
ANY,/my/codestra/contracts/<int:contract_id>,codestra_client_portal,CodestraClientPortal.codestra_contract,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/provisioning/v1/callback,codestra_identity_provisioning,ProvisioningCallbackController.provisioning_callback,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,YES,REJECT
POST,/codestra/api/v1/leads/automation/apply,codestra_lead_automation,LeadAutomationController.apply,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REJECT
POST,/codestra/middleware/v1/crm/leads,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_lead_create,none,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REJECT
GET;PATCH,/codestra/middleware/v1/crm/leads/<string:external_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_lead,none,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REJECT
POST,/codestra/middleware/v1/crm/activities,codestra_middleware_bridge,CodestraMiddlewareBridge.crm_activity_create,none,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REJECT
POST,/codestra/middleware/v1/email-events,codestra_middleware_bridge,CodestraMiddlewareBridge.email_event,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REJECT
POST,/codestra/middleware/v1/contacts,codestra_middleware_bridge,CodestraMiddlewareBridge.create_contact,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REJECT
GET;PATCH,/codestra/middleware/v1/contacts/<int:partner_id>,codestra_middleware_bridge,CodestraMiddlewareBridge.contact,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REJECT
POST,/codestra/middleware/v1/contacts/<int:partner_id>/activities,codestra_middleware_bridge,CodestraMiddlewareBridge.activity,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REJECT
POST,/codestra/middleware/v1/contacts/<int:partner_id>/status,codestra_middleware_bridge,CodestraMiddlewareBridge.status,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REJECT
ANY,DYNAMIC_ROUTE,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.create_result,user,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/projections/<string:projection_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_telephony_projection,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/projections,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.search_telephony_projections,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/mappings/<string:mapping_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_telephony_mapping,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/mappings,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.search_telephony_mappings,none,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/reconciliation/runs/<string:run_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_reconciliation_run,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,CANDIDATE
GET,/api/v1/integration/reconciliation/drifts/<string:drift_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_reconciliation_drift,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,CANDIDATE
GET,/codestra/api/v1/health,codestra_vicidial_crm,CodestraAPI.health,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,CANDIDATE
POST,/codestra/api/v1/events,codestra_vicidial_crm,CodestraAPI.events,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,NO,NO,NO,REJECT
POST,/codestra/api/v1/call-events,codestra_vicidial_crm,CodestraAPI.call_events,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,NO,NO,NO,REJECT
POST,/codestra/api/v1/sync/preview,codestra_vicidial_crm,CodestraAPI.preview,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/current,codestra_vicidial_crm,CallControlAPI.current,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/match,codestra_vicidial_crm,CallControlAPI.match,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/outbound,codestra_vicidial_crm,CallControlAPI.outbound,user,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/<string:action>,codestra_vicidial_crm,CallControlAPI.action,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/notes,codestra_vicidial_crm,CallControlAPI.notes,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,NO,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/disposition,codestra_vicidial_crm,CallControlAPI.disposition,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,NO,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/workspace,codestra_vicidial_crm,CallControlAPI.workspace,user,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/callbacks,codestra_vicidial_crm,CallControlAPI.callback,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,NO,YES,YES,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/callbacks/<int:callback_id>/<string:action>,codestra_vicidial_crm,CallControlAPI.callback_lifecycle,user,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,YES,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/history,codestra_vicidial_crm,CallControlAPI.history,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/record-opened,codestra_vicidial_crm,CallControlAPI.record_opened,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/recording/playback,codestra_vicidial_crm,CallControlAPI.recording_playback,user,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-workspace/v1/calls/search,codestra_vicidial_crm,CallControlAPI.call_search,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/detail,codestra_vicidial_crm,CallControlAPI.call_detail,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/supervisor/dashboard,codestra_vicidial_crm,CallControlAPI.supervisor_dashboard,user,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/qa,codestra_vicidial_crm,CallControlAPI.qa_score,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/qa/<int:review_id>/coaching,codestra_vicidial_crm,CallControlAPI.create_coaching,user,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/coaching/<int:coaching_id>/acknowledge,codestra_vicidial_crm,CallControlAPI.acknowledge_coaching,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/tasks,codestra_vicidial_crm,CallControlAPI.create_follow_up,user,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/api/v1/recordings/upsert,codestra_vicidial_recording,RecordingAPI.upsert,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REJECT
GET,/codestra/api/v1/recordings/<string:recording_uid>,codestra_vicidial_recording,RecordingAPI.get_recording,none,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
POST,/codestra/api/v1/recordings/<string:recording_uid>/status,codestra_vicidial_recording,RecordingAPI.update_status,none,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REJECT
